Provinsi,SD,SMP,SMA,PT
ACEH,98.99,94.37,72.14,27.68
SUMATERA UTARA,98.34,89.00,67.10,16.94
SUMATERA BARAT,98.09,90.12,68.84,23.95
RIAU,97.68,88.28,65.41,15.34
JAMBI,98.27,88.08,59.99,15.64
SUMATERA SELATAN,97.95,86.45,56.54,12.75
BENGKULU,98.41,90.97,62.86,17.02
LAMPUNG,97.94,86.39,56.24,10.39
KEP. BANGKA BELITUNG,97.28,84.53,49.92,8.63
KEP. RIAU,97.61,96.57,68.17,9.67
DKI JAKARTA,98.14,92.38,59.72,17.83
JAWA BARAT,97.89,85.97,50.36,11.15
JAWA TENGAH,98.61,88.38,54.76,11.51
DI YOGYAKARTA,99.43,97.66,75.60,44.17
JAWA TIMUR,98.27,90.11,58.54,12.69
BANTEN,98.22,88.47,56.01,13.56
BALI,98.38,92.36,68.22,18.93
NUSA TENGGARA BARAT,97.85,91.40,60.09,16.99
NUSA TENGGARA TIMUR,96.03,86.01,60.06,17.40
KALIMANTAN BARAT,96.28,83.94,50.17,11.94
KALIMANTAN TENGAH,98.12,85.53,55.75,13.05
KALIMANTAN SELATAN,97.75,83.05,53.89,13.62
KALIMANTAN TIMUR,98.62,92.40,69.10,16.92
KALIMANTAN UTARA,-,-,-,-
SULAWESI UTARA,98.02,87.59,60.77,15.16
SULAWESI TENGAH,97.00,85.32,59.49,16.72
SULAWESI SELATAN,97.22,84.67,57.15,21.46
SULAWESI TENGGARA,97.36,86.89,62.29,21.48
GORONTALO,96.91,83.75,58.14,19.85
SULAWESI BARAT,95.86,82.69,57.30,13.03
MALUKU,98.39,92.06,67.34,26.71
MALUKU UTARA,97.15,90.11,65.12,19.33
PAPUA BARAT,94.50,88.37,65.53,16.46
PAPUA,72.61,70.43,49.71,12.81